Category,Motivation,Lable_num,Motivation_len,Claen_Mot,Claen_Mot_len
medicine,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",3,96,discovery high efficiency DDT contact poison several arthropods,63
literature,"""for his outstanding pioneer contribution to present-day poetry""",2,64,outstanding pioneer contribution presentday poetry,50
chemistry,"""for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins""",0,144,research electrophoresis adsorption analysis especially discoveries concerning complex nature serum proteins,108
physics,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",5,140,development Wilson cloud chamber method discoveries therewith fields nuclear physics cosmic radiation,101
medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",3,78,discovery therapeutic value leucotomy certain psychoses,55
chemistry,"""for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures""",0,145,contributions chemical thermodynamics particularly concerning behaviour substances extremely low temperatures,109
medicine,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",3,126,discovery functional organization interbrain coordinator activities internal organs,83
literature,"""for his powerful and artistically unique contribution to the modern American novel""",2,84,powerful artistically unique contribution modern American novel,63
peace,"""for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war""",4,121,lifelong effort conquer hunger want thereby helping remove major cause military conflict war,92
physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",5,98,prediction existence mesons basis theoretical nuclear forces,60
literature,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",2,120,recognition varied significant writings champions humanitarian ideals freedom thought,85
peace,"""for his work as mediator in Palestine in 1948-1949""",4,52,mediator Palestine 19481949,27
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",3,109,discoveries relating hormones adrenal cortex structure biological effects,73
chemistry,"""for their discovery and development of the diene synthesis""",0,60,discovery development diene synthesis,37
physics,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",5,137,development photographic method studying nuclear processes discoveries regarding mesons made method,99
peace,"""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",4,132,devoted life fight war promotion social justice brotherhood among men nations,77
literature,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",2,155,artistic vigour true independence mind endeavours poetry find answers eternal questions confronting mankind,107
physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",5,107,pioneer transmutation atomic nuclei artificially accelerated atomic particles,77
chemistry,"""for their discoveries in the chemistry of the transuranium elements""",0,69,discoveries chemistry transuranium elements,43
medicine,"""for his discoveries concerning yellow fever and how to combat it""",3,66,discoveries concerning yellow fever combat,42
physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",5,122,development methods nuclear magnetic precision measurements discoveries connection therewith,92
chemistry,"""for their invention of partition chromatography""",0,49,invention partition chromatography,34
peace,"""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one""",4,153,altruism reverence life tireless humanitarian helped making idea brotherhood men nations living one,99
medicine,"""for his discovery of streptomycin the first antibiotic effective against tuberculosis""",3,87,discovery streptomycin first antibiotic effective tuberculosis,62
literature,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",2,126,deep spiritual insight artistic intensity novels penetrated drama human life,76
peace,"""for proposing and supervising the plan for the economic recovery of Europe""",4,76,proposing supervising plan economic recovery Europe,51
medicine,"""for his discovery of the citric acid cycle""",3,44,discovery citric acid cycle,27
medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",3,81,discovery coenzyme importance intermediary metabolism,53
physics,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",5,114,demonstration phase contrast method especially invention phase contrast microscope,82
chemistry,"""for his discoveries in the field of macromolecular chemistry""",0,62,discoveries macromolecular chemistry,36
literature,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",2,127,mastery historical biographical description well brilliant oratory defending exalted human values,97
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3,108,discovery ability poliomyelitis viruses grow cultures various types tissue,74
chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",0,133,research nature chemical bond application elucidation structure complex substances,82
peace,"""for his fight against the nuclear arms race between East and West""",4,67,fight nuclear arms race West,28
physics,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",5,117,fundamental research quantum mechanics especially statistical interpretation wavefunction,89
physics,"""for the coincidence method and his discoveries made therewith""",5,63,coincidence method discoveries made therewith,45
literature,"""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style""",2,166,mastery art narrative recently demonstrated IThe Old SeaI influence exerted contemporary style,94
peace,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",4,107,efforts heal wounds war providing help protection refugees world,64
peace,"""for promoting the fundamental rights of refugees""",4,50,promoting fundamental rights refugees,37
literature,"""for his vivid epic power which has renewed the great narrative art of Iceland""",2,79,vivid epic power renewed great narrative art Iceland,52
physics,"""for his precision determination of the magnetic moment of the electron""",5,72,precision determination magnetic moment electron,48
physics,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",5,76,discoveries concerning fine structure hydrogen spectrum,55
medicine,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",3,83,discoveries concerning nature mode action oxidation enzymes,59
chemistry,"""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""",0,119,biochemically important sulphur compounds especially first synthesis polypeptide hormone,88
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3,107,discoveries concerning heart catheterization pathological changes circulatory system,84
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",5,85,researches semiconductors discovery transistor effect,53
chemistry,"""for their researches into the mechanism of chemical reactions""",0,63,researches mechanism chemical reactions,39
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",5,87,jointly developed theory superconductivity usually called BCStheory,67
literature,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity""",2,110,lyrical poetry Spanish language constitutes example high spirit artistical purity,81
physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",5,140,penetrating investigation socalled parity laws important discoveries regarding elementary particles,99
peace,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",4,115,crucial contribution deployment United Nations Emergency Force wake Suez Crisis,79
chemistry,"""for his work on nucleotides and nucleotide co-enzymes""",0,55,nucleotides nucleotide coenzymes,32
literature,"""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",2,138,important literary production clearsighted earnestness illuminates problems human conscience times,98
medicine,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles""",3,180,discoveries relating synthetic compounds inhibit action certain body substances especially action vascular system skeletal muscles,130
chemistry,"""for his work on the structure of proteins especially that of insulin""",0,70,structure proteins especially insulin,37
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",0,89,contributions concerning determination base sequences nucleic acids,67
peace,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",4,99,efforts help refugees leave camps return life freedom dignity,61
medicine,"""for their discovery that genes act by regulating definite chemical events""",3,75,discovery genes act regulating definite chemical events,55
medicine,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",3,111,discoveries concerning genetic recombination organization genetic material bacteria,83
literature,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",2,120,important achievement contemporary lyrical poetry great Russian epic tradition,78
physics,"""for the discovery and the interpretation of the Cherenkov effect""",5,66,discovery interpretation Cherenkov effect,41
medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",3,113,discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid,80
chemistry,"""for his discovery and development of the polarographic methods of analysis""",0,76,discovery development polarographic methods analysis,52
physics,"""for their discovery of the antiproton""",5,39,discovery antiproton,20
peace,"""for his longstanding contribution to the cause of disarmament and peace""",4,73,longstanding contribution cause disarmament peace,49
literature,"""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",2,107,lyrical poetry classical fire expresses tragic experience life times,68
medicine,"""for discovery of acquired immunological tolerance""",3,51,discovery acquired immunological tolerance,42
physics,"""for the invention of the bubble chamber""",5,41,invention bubble chamber,24
literature,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",2,129,soaring flight evocative imagery poetry visionary fashion reflects conditions,77
peace,"""for his non-violent struggle against apartheid""",4,48,nonviolent struggle apartheid,29
chemistry,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science""",0,119,method carbon14 age determination archaeology geology geophysics branches science,81
physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",5,147,researches concerning resonance absorption gamma radiation discovery connection effect bears name,97
peace,"""for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter""",4,163,developing UN effective constructive international organization capable giving life principles aims expressed UN Charter,120
medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",3,81,discoveries physical mechanism stimulation within cochlea,57
literature,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",2,119,epic force traced themes depicted human destinies drawn history country,71
chemistry,"""for his research on the carbon dioxide assimilation in plants""",0,63,research carbon dioxide assimilation plants,43
physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",5,150,pioneering studies electron scattering atomic nuclei thereby achieved discoveries concerning structure nucleons,111
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3,140,discoveries concerning molecular structure nucleic acids significance information transfer living material,106
chemistry,"""for their studies of the structures of globular proteins""",0,58,studies structures globular proteins,36
physics,"""for his pioneering theories for condensed matter especially liquid helium""",5,75,pioneering theories condensed matter especially liquid helium,61
literature,"""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",2,111,realistic imaginative writings combining sympathetic humour keen social perception,82
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3,159,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane,118
physics,"""for their discoveries concerning nuclear shell structure""",5,58,discoveries concerning nuclear shell structure,46
physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",5,174,contributions theory atomic nucleus elementary particles particularly discovery application fundamental symmetry principles,123
literature,"""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",2,94,eminent lyrical writing inspired deep feeling Hellenic world culture,68
chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",0,85,discoveries chemistry technology high polymers,46
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",5,157,fundamental quantum electronics construction oscillators amplifiers based maserlaser principle,94
literature,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",2,144,rich ideas filled spirit freedom quest truth exerted farreaching influence age,78
peace,"""for his non-violent struggle for civil rights for the Afro-American population""",4,80,nonviolent struggle civil rights AfroAmerican population,56
medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",3,108,discoveries concerning mechanism regulation cholesterol fatty acid metabolism,77
chemistry,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",0,98,determinations Xray techniques structures important biochemical substances,74
chemistry,"""for his outstanding achievements in the art of organic synthesis""",0,66,outstanding achievements art organic synthesis,46
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3,80,discoveries concerning genetic control enzyme virus synthesis,61
peace,"""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",4,109,effort enhance solidarity nations reduce difference rich poor states,68
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",5,128,fundamental quantum electrodynamics deepploughing consequences physics elementary particles,91
literature,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",2,150,artistic power integrity epic given expression historic phase life Russian people,81
medicine,"""for his discoveries concerning hormonal treatment of prostatic cancer""",3,71,discoveries concerning hormonal treatment prostatic cancer,58
literature,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",2,96,profoundly characteristic narrative art motifs life Jewish people,65
chemistry,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",0,126,fundamental concerning chemical bonds electronic structure molecules molecular orbital method,93
medicine,"""for his discovery of tumour-inducing viruses""",3,46,discovery tumourinducing viruses,32
literature,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength""",2,107,outstanding lyrical dramatic writing interprets Israels destiny touching strength,81
physics,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",5,96,discovery development optical methods studying Hertzian resonances atoms,72
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3,101,discoveries concerning primary physiological chemical visual processes eye,74
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",0,135,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy,99
literature,"""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America""",2,121,vivid literary achievement deeprooted national traits traditions Indian peoples Latin,85
physics,"""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars""",5,127,contributions theory nuclear reactions especially discoveries concerning energy production stars,96
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",3,84,interpretation genetic code function protein synthesis,54
chemistry,"""for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes""",0,135,discovery reciprocal relations bearing name fundamental thermodynamics irreversible processes,93
peace,"""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",4,82,struggle ensure rights stipulated UN Declaration,48
physics,"""for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",5,235,decisive contributions elementary particle physics particular discovery large number resonance states made possible development technique using hydrogen bubble chamber data analysis,181
literature,"""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind""",2,99,narrative mastery great sensibility expresses essence Japanese mind,67
chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",0,108,contributions development concept conformation application chemistry,68
literature,"""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",2,120,writing forms novel drama destitution modern acquires elevation,63
economics,"""for having developed and applied dynamic models for the analysis of economic processes""",1,88,developed applied dynamic models analysis economic processes,60
physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",5,116,contributions discoveries concerning classification elementary particles interactions,85
peace,"""for creating international legislation insuring certain norms for working conditions in every country""",4,103,creating international legislation insuring certain norms working conditions every country,90
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3,97,discoveries concerning replication mechanism genetic structure viruses,70
physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",5,127,fundamental discoveries magnetohydrodynamics fruitful applications different parts plasma physics,97
physics,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",5,151,fundamental discoveries concerning antiferromagnetism ferrimagnetism important applications solid state physics,111
peace,"""for having given a well-founded hope - the green revolution""",4,61,given wellfounded hope green revolution,39
chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",0,92,discovery sugar nucleotides biosynthesis carbohydrates,54
literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",2,100,ethical force pursued indispensable traditions Russian literature,65
economics,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",1,169,scientific developed static dynamic economic theory actively contributed raising level analysis economic science,112
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",3,143,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation,98
peace,"""for paving the way for a meaningful dialogue between East and West""",4,68,paving way meaningful dialogue West,35
physics,"""for his invention and development of the holographic method""",5,61,invention development holographic method,40
economics,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",1,171,empirically founded interpretation economic growth deepened insight economic social structure process development,113
chemistry,"""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals""",0,117,contributions knowledge electronic structure geometry molecules particularly free radicals,90
medicine,"""for his discoveries concerning the mechanisms of the action of hormones""",3,73,discoveries concerning mechanisms action hormones,49
literature,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",2,103,poetry action elemental force brings alive continents destiny dreams,68
literature,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",2,174,writing combination broad perspective sensitive skill characterization contributed renewal German literature,108
medicine,"""for their discoveries concerning the chemical structure of antibodies""",3,71,discoveries concerning chemical structure antibodies,52
chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",0,163,contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule,111
chemistry,"""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation""",0,140,ribonuclease especially concerning connection amino acid sequence biologically active conformation,98
economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",1,94,pioneering contributions general economic equilibrium theory welfare theory,75
physics,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects""",5,175,theoretical predictions properties supercurrent tunnel barrier particular phenomena generally known Josephson effects,117
chemistry,"""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""",0,119,pioneering performed independently chemistry organometallic called sandwich compounds,85
peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",4,63,jointly negotiated cease fire Vietnam 1973,42
economics,"""for the development of the input-output method and for its application to important economic problems""",1,103,development inputoutput method application important economic problems,70
medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3,107,discoveries concerning organization elicitation individual social behaviour patterns,84
physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""",5,117,experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively,98
literature,"""for an epic and psychological narrative art which has introduced a new continent into literature""",2,98,epic psychological narrative art introduced continent literature,64
chemistry,"""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules""",0,116,fundamental achievements theoretical experimental physical chemistry macromolecules,83
literature,"""for a narrative art far-seeing in lands and ages in the service of freedom""",2,76,narrative art farseeing lands ages service freedom,50
economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",1,181,pioneering theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena,122
literature,"""for writings that catch the dewdrop and reflect the cosmos""",2,60,writings catch dewdrop reflect cosmos,37
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",3,89,discoveries concerning structural functional organization cell,62
physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",5,206,pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive discovery pulsars,141
peace,"""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty""",4,123,contribution stabilize conditions Pacific rim area signing Nuclear NonProliferation Treaty,90
peace,"""for his efforts to secure and develop human rights throughout the world""",4,73,efforts secure develop human rights throughout world,52
chemistry,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",0,67,stereochemistry enzymecatalyzed reactions,41
chemistry,"""for his research into the stereochemistry of organic molecules and reactions""",0,78,research stereochemistry organic molecules reactions,52
medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",3,110,discoveries concerning interaction tumour viruses genetic material cell,71
physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",5,198,discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection,129
economics,"""for their contributions to the theory of optimum allocation of resources""",1,74,contributions theory optimum allocation resources,49
literature,"""for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions""",2,150,distinctive poetry great artistic sensitivity interpreted human values sign outlook life illusions,98
peace,"""for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations""",4,107,struggle human rights Soviet Union disarmament cooperation nations,66
economics,"""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy""",1,156,achievements fields consumption analysis monetary history theory demonstration complexity stabilization policy,110
chemistry,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",0,87,studies structure boranes illuminating problems chemical bonding,64
peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",4,109,courageous efforts founding movement put violent conflict Northern Ireland,74
physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",5,89,pioneering discovery heavy elementary particle kind,51
medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",3,105,discoveries concerning mechanisms origin dissemination infectious diseases,74
literature,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",2,103,human understanding subtle analysis contemporary culture combined,65
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",5,113,fundamental theoretical investigations electronic structure magnetic disordered systems,87
economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",1,110,pathbreaking contribution theory international trade international capital movements,84
medicine,"""for their discoveries concerning the peptide hormone production of the brain""",3,78,discoveries concerning peptide hormone production brain,55
medicine,"""for the development of radioimmunoassays of peptide hormones""",3,62,development radioimmunoassays peptide hormones,46
chemistry,"""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures""",0,107,contributions nonequilibrium thermodynamics particularly theory dissipative structures,86
peace,"""for worldwide respect for human rights""",4,40,worldwide respect human rights,30
literature,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",2,207,creative poetic writing illuminates mans condition cosmos presentday society representing great renewal traditions Spanish poetry wars,134
peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",4,70,jointly negotiated peace Egypt Israel 1978,42
physics,"""for their discovery of cosmic microwave background radiation""",5,62,discovery cosmic microwave background radiation,47
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3,98,discovery restriction enzymes application problems molecular genetics,69
literature,"""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life""",2,132,impassioned narrative art roots PolishJewish cultural tradition brings universal human conditions life,102
economics,"""for his pioneering research into the decision-making process within economic organizations""",1,92,pioneering research decisionmaking process within economic organizations,72
physics,"""for his basic inventions and discoveries in the area of low-temperature physics""",5,81,basic inventions discoveries area lowtemperature physics,56
chemistry,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",0,124,contribution understanding biological energy transfer formulation chemiosmotic theory,85
chemistry,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",0,138,development boron phosphoruscontaining compounds respectively important reagents organic synthesis,98
economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",1,136,pioneering research economic development research particular consideration problems developing countries,104
peace,"""for her work for bringing help to suffering humanity""",4,54,bringing help suffering humanity,32
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",5,184,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current,135
medicine,"""for the development of computer assisted tomography""",3,53,development computer assisted tomography,40
literature,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",2,181,poetry background Greek tradition depicts sensuous strength intellectual clearsightedness modern mans struggle freedom creativeness,131
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3,126,discoveries concerning genetically determined structures cell surface regulate immunological reactions,102
economics,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",1,123,creation econometric models application analysis economic fluctuations economic policies,88
chemistry,"""for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA""",0,108,fundamental studies biochemistry nucleic acids particular regard recombinantDNA,79
peace,"""for being a source of inspiration to repressed people especially in Latin America""",4,83,source inspiration repressed people especially Latin,52
physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",5,101,discovery violations fundamental symmetry principles decay neutral Kmesons,74
literature,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",2,105,uncompromising clearsightedness voices mans exposed condition world severe conflicts,84
economics,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",1,117,analysis financial markets relations expenditure decisions employment production prices,87
literature,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",2,77,writings marked broad outlook wealth ideas artistic power,57
medicine,"""for their discoveries concerning information processing in the visual system""",3,78,discoveries concerning information processing visual system,59
physics,"""for their contribution to the development of laser spectroscopy""",5,65,contribution development laser spectroscopy,43
medicine,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",3,90,discoveries concerning functional specialization cerebral hemispheres,69
chemistry,"""for their theories developed independently concerning the course of chemical reactions""",0,88,theories developed independently concerning course chemical reactions,69
physics,"""for his contribution to the development of high-resolution electron spectroscopy""",5,82,contribution development highresolution electron spectroscopy,61
economics,"""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation""",1,117,seminal studies industrial structures functioning markets causes effects public regulation,90
peace,"""for their work for disarmament and nuclear and weapon-free zones""",4,66,disarmament nuclear weaponfree zones,36
literature,"""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",2,174,novels short stories fantastic realistic combined richly composed world imagination reflecting continents life conflicts,120
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",3,92,discoveries concerning prostaglandins related biologically active substances,76
chemistry,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",0,149,development crystallographic electron microscopy structural elucidation biologically important nucleic acidprotein complexes,124
physics,"""for his theory for critical phenomena in connection with phase transitions""",5,76,theory critical phenomena connection phase transitions,54
peace,"""for non-violent struggle for free trade unions and human rights in Poland""",4,75,nonviolent struggle free trade unions human rights Poland,57
chemistry,"""for his work on the mechanisms of electron transfer reactions especially in metal complexes""",0,93,mechanisms electron transfer reactions especially metal complexes,65
medicine,"""for her discovery of mobile genetic elements""",3,46,discovery mobile genetic elements,33
economics,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",1,141,incorporated analytical methods economic theory rigorous reformulation theory general equilibrium,97
literature,"""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today""",2,166,novels perspicuity realistic narrative art diversity universality myth illuminate human condition world today,109
physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",5,143,theoretical experimental studies nuclear reactions importance formation chemical elements universe,98
physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",5,113,theoretical studies physical processes importance structure evolution stars,75
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3,164,theories concerning specificity development control immune system discovery principle production monoclonal antibodies,118
literature,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",2,156,poetry endowed freshness sensuality rich inventiveness provides liberating image indomitable spirit versatility,111
